District,District Code,Facility Code,Reg No.,DHIS2 CODE,Facility Name,Facility Type,Facility Ownership,Facility Location,Catchment Population (2018),LATITUDE,LONGITUDE,,,,,,,
,,,,,,,,,,,,,,,,,,
Chitipa,CP,101,MCM/C/224,0,Banja La Mtsogolo Clinic,Dispensary,Private for profit,Urban,,-9.70176,33.27335,,,,,,,
Chitipa,CP,102,MCM/CHAM/HC/15,102,Chambo Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-9.94361,33.39795,,,,,,,
Chitipa,CP,103,MCM/MOH/DH/20,103,Chitipa District Hospital,District Hospital,Government/public,Urban,,-9.70159,33.2659,,,,,,,
Chitipa,CP,104,,104,Ifumbo Health Centre,Health Centre,Government/public,Rural,,-9.60436,33.40495,,,,,,,
Chitipa,CP,105,MCM/MOH/HC/05,105,Kameme Health Centre,Health Centre,Government/public,Rural,,-9.54425,33.13134,,,,,,,
Chitipa,CP,106,MCM/MOH/HC/40,106,Kapenda Health Centre,Health Centre,Government/public,Urban,,-9.49394,33.24911,,,,,,,
Chitipa,CP,107,MCM/CHAM/RH/03,107,Kaseye Mission Hospital,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,,-9.66644,33.37361,,,,,,,
Chitipa,CP,108,MCM/MOH/HC/43,108,Misuku Health Centre,Health Centre,Government/public,Rural,,-9.67977,33.52076,,,,,,,
Chitipa,CP,112,,0,Mpale Private Clinic,Dispensary,Private for profit,Rural,,-10.1869,33.54168,,,,,,,
Chitipa,CP,109,MCM/CHAM/HC/81,109,Msumbe Health Center,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-9.75123,33.67563,,,,,,,
Chitipa,CP,110,MCM/MOH/04,110,Nthalire Health Centre,Health Centre,Government/public,Rural,,-10.34894,33.64394,,,,,,,
Chitipa,CP,111,MCM/MOH/HC/49,111,Wenya Health Centre,Health Centre,Government/public,Rural,,-10.11286,33.56344,,,,,,,
Chitipa,CP,113,,0,Ngoya,Health Post,Government/public,Rural,,-9.617792,33.293329,,,,,,,
Chitipa,CP,114,,0,Kalira,Health Post,Government/public,Rural,,-9.575143,33.312223,,,,,,,
Chitipa,CP,115,,0,Iyela,Health Post,Government/public,Rural,,-9.686101,33.294537,,,,,,,
Chitipa,CP,116,,0,Kapoka,Health Post,Government/public,Rural,,-9.780792,33.453954,,,,,,,
Chitipa,CP,117,,0,Chipwera,Health Post,Government/public,Rural,,-9.773001,33.522856,,,,,,,
Chitipa,CP,118,,0,Chiweta,Health Post,Government/public,Rural,,-9.646359,33.246835,,,,,,,
Chitipa,CP,119,,0,Ighughu,Health Post,Government/public,Rural,,-9.673396,33.496793,,,,,,,
Chitipa,CP,120,,0,Itulo,Health Post,Government/public,Rural,,-9.6779,33.595689,,,,,,,
Chitipa,CP,121,,0,Sokola,Health Post,Government/public,Rural,,-9.722825,33.583947,,,,,,,
Chitipa,CP,122,,0,Mpemba,Health Post,Government/public,Rural,,-10.134558,33.521683,,,,,,,
